order_id,product_id,quantity,unit_price,unit_cost
O000100,P0047,1,263.66,161.87
O000100,P0222,2,48.75,18.04
O000101,P0106,2,27.5,12.14
O000101,P0048,5,159.3,96.22
O000102,P0006,1,4.92,3.95
O000103,P0274,1,94.43,52.26
O000103,P0085,1,502.25,309.87
O000104,P0146,2,27.98,8.84
O000105,P0173,2,58.57,26.23
O000105,P0180,1,74.16,31.93
O000106,P0200,1,78.27,35.11
O000106,P0236,1,135.12,76.29
O000106,P0139,1,18.93,9.27
O000107,P0256,2,150.37,74.69
O000107,P0204,3,77.35,38.97
O000108,P0012,1,175.69,144.29
O000108,P0201,1,64.32,28.86
O000109,P0274,1,94.95,52.26
O000109,P0100,1,325.59,175.41
O000109,P0153,1,5.13,2.37
O000109,P0168,1,28.32,11.5
O000109,P0120,1,48.2,19.66
O000110,P0154,3,36.55,17.74
O000110,P0214,1,65.06,30.04
O000110,P0110,5,41.37,19.01
O000111,P0196,1,72.16,34.88
O000111,P0080,2,328.14,200.57
O000112,P0164,3,46,23.04
O000112,P0278,1,82.95,48.93
O000112,P0050,4,123.11,90.91
O000112,P0226,3,74.75,33.84
O000112,P0287,1,101.66,59.64
O000113,P0237,3,63,29.15
O000113,P0011,1,103.21,67.9
O000113,P0070,2,402.16,241.57
O000113,P0227,1,53.2,21.79
O000113,P0241,5,94.56,43.3
O000114,P0169,1,65.91,34.34
O000114,P0124,5,41.9,19.32
O000115,P0235,4,104.46,47.66
O000115,P0250,3,96.16,60.2
O000115,P0029,3,225.75,161.42
O000115,P0261,3,126.21,73.01
O000116,P0240,3,95.13,48.09
O000116,P0245,1,106.64,45.76
O000116,P0193,1,104.48,53.82
O000116,P0209,1,33.14,13.48
O000117,P0206,1,63.22,30.07
O000117,P0283,1,69.49,38.36
O000117,P0167,3,45.19,21.55
O000118,P0081,1,291.98,184.28
O000118,P0091,1,504.47,289
O000119,P0106,2,27.4,12.14
O000119,P0009,1,100.32,63.15
O000120,P0081,2,289.04,184.28
O000120,P0217,2,101.45,33.82
O000120,P0168,1,30.51,11.5
O000120,P0006,1,5.49,3.95
O000120,P0072,1,239.5,144.19
O000121,P0216,5,68.84,27.72
O000121,P0262,1,63.92,33.94
O000121,P0099,3,455.8,258.19
O000121,P0138,3,23.86,12.24
O000122,P0083,2,230.93,130.51
O000122,P0139,1,17.62,9.27
O000122,P0145,1,46.36,19.97
O000123,P0104,1,30.23,15.83
O000123,P0271,1,154.48,74.27
O000124,P0105,1,45.49,17.85
O000124,P0219,1,92.57,41.64
O000124,P0217,1,107.68,33.82
O000125,P0241,4,98.54,43.3
O000125,P0126,4,69.23,33.66
O000125,P0067,3,268.1,155.88
O000126,P0065,1,205.74,113.93
O000126,P0229,3,84.78,33.98
O000127,P0244,1,84.81,44.14
O000127,P0190,3,98.21,39.84
O000127,P0048,3,146.57,96.22
O000128,P0214,1,65.43,30.04
O000128,P0291,1,43.31,26.48
O000129,P0161,1,9.55,4.82
O000129,P0127,3,72.45,28.5
O000129,P0250,2,89.91,60.2
O000129,P0222,2,46.36,18.04
O000129,P0028,3,206.5,131.12
O000129,P0142,3,48.91,21.25
O000130,P0266,1,115.92,56.79
O000130,P0048,1,153.57,96.22
O000130,P0242,1,75.12,47.88
O000130,P0245,1,104.32,45.76
O000130,P0131,1,50.79,27.71
O000131,P0093,3,400.14,243.23
O000131,P0256,1,152.14,74.69
O000131,P0166,2,19.54,9.8
O000132,P0283,1,73.06,38.36
O000132,P0037,1,107.74,66.6
O000132,P0188,1,92.84,41.67
O000132,P0133,1,54.2,23.12
O000133,P0224,1,41.4,18.78
O000133,P0044,3,287.44,199.81
O000134,P0209,1,33.4,13.48
O000135,P0025,1,265.86,177.08
O000135,P0022,2,219.48,146.59
O000135,P0096,1,173.53,93.71
O000135,P0020,5,286.69,236.61
O000136,P0058,1,417.88,288.71
O000136,P0043,2,113.92,77.51
O000136,P0242,3,76.7,47.88
O000136,P0113,2,15.4,7.66
O000136,P0259,4,95.52,54.92
O000137,P0102,1,56.74,18.55
O000137,P0192,2,81.01,33.9
O000137,P0133,2,56.99,23.12
O000138,P0242,1,80.87,47.88
O000138,P0029,3,246.92,161.42
O000138,P0259,3,99.42,54.92
O000139,P0158,4,27.58,11.41
O000139,P0131,2,50.26,27.71
O000139,P0094,1,379.05,223.8
O000139,P0088,3,673.43,468.78
O000140,P0197,2,73.57,29.79
O000141,P0294,2,56.65,29.16
O000141,P0066,1,331.41,185.87
O000141,P0255,2,113.15,64.14
O000142,P0160,1,46.8,19.95
O000142,P0140,2,48.86,20.88
O000142,P0287,3,96.01,59.64
O000142,P0064,1,386.57,232.51
O000143,P0178,3,82.05,37.46
O000143,P0055,2,344.54,236.11
O000144,P0182,3,86.48,33.73
O000144,P0098,2,435.72,267.66
O000144,P0251,3,140.59,89.27
O000144,P0054,1,285.48,219.23
O000144,P0175,2,34.93,15.18
O000145,P0045,2,365.35,290.5
O000145,P0077,1,300.69,180.96
O000145,P0202,2,4.82,2.08
O000146,P0103,1,42.57,19.74
O000147,P0191,1,50.18,22.56
O000148,P0127,3,71.91,28.5
O000148,P0139,2,18.31,9.27
O000148,P0149,2,36.89,20.06
O000148,P0075,2,516.27,309.23
O000148,P0218,3,13.47,4.91
O000148,P0175,1,32.35,15.18
O000149,P0087,1,302.98,168.27
O000149,P0243,2,99.85,50.45
O000149,P0136,2,15.27,7.1
O000149,P0275,1,110.83,58.67
O000150,P0003,1,109.37,81.59
O000150,P0281,4,98.34,50.24
O000151,P0047,1,244.95,161.87
O000152,P0018,1,185.55,119.94
O000153,P0196,1,70.85,34.88
O000153,P0287,1,108.26,59.64
O000153,P0069,2,305.82,173.91
O000153,P0171,1,47.68,25.92
O000154,P0084,1,162.87,92.59
O000154,P0051,1,116.45,71.32
O000154,P0143,1,36.76,17.65
O000154,P0094,1,350.11,223.8
O000155,P0029,1,219.74,161.42
O000155,P0172,2,49.88,23.96
O000156,P0104,1,29.11,15.83
O000156,P0156,2,5.08,2.05
O000156,P0044,2,280.76,199.81
O000156,P0001,2,252.57,183.35
O000157,P0104,1,30.1,15.83
O000157,P0210,1,92.14,35.04
O000157,P0046,1,196.13,116.08
O000158,P0223,1,73.9,26.47
O000158,P0088,1,662.43,468.78
O000158,P0274,1,96.62,52.26
O000158,P0013,2,194.07,142.15
O000159,P0154,2,37.53,17.74
O000159,P0068,4,355.16,210.52
O000160,P0113,3,15.57,7.66
O000160,P0185,1,99.19,39.34
O000160,P0176,2,44.41,17.91
O000161,P0078,3,161.05,95.39
O000161,P0290,4,160.7,88.25
O000161,P0031,1,322.75,226.84
O000162,P0201,2,64.49,28.86
O000162,P0048,4,150.23,96.22
O000162,P0143,1,34.12,17.65
O000163,P0297,2,125.74,74.56
O000164,P0156,2,5.14,2.05
O000164,P0017,4,339.61,276.98
O000164,P0277,2,108.84,53.14
O000164,P0045,1,370.92,290.5
O000165,P0219,1,93.16,41.64
O000165,P0063,1,241.06,148.19
O000166,P0152,4,51.7,26.59
O000166,P0159,2,35.24,18
O000166,P0187,1,59.24,24.62
O000166,P0212,2,121.04,47.26
O000166,P0160,2,50.76,19.95
O000167,P0159,3,37.04,18
O000168,P0072,1,231.21,144.19
O000168,P0227,3,53.19,21.79
O000168,P0081,1,289.92,184.28
O000169,P0232,1,74.91,34.28
O000169,P0121,1,40.89,20.08
O000169,P0048,2,140.53,96.22
O000170,P0212,5,129.66,47.26
O000170,P0263,4,112.91,59.47
O000171,P0243,1,102.22,50.45
O000171,P0213,3,56.97,23.34
O000172,P0073,1,322.44,200.42
O000172,P0183,1,93.19,47.89
O000172,P0104,1,29.99,15.83
O000172,P0002,1,304.73,190.62
O000173,P0202,1,5.17,2.08
O000173,P0099,1,456.98,258.19
O000174,P0272,2,115.83,68.23
O000174,P0005,1,287.37,180.19
O000174,P0259,1,90.12,54.92
O000175,P0084,1,167.79,92.59
O000175,P0257,5,75.71,37.39
O000175,P0263,3,115.03,59.47
O000176,P0166,4,19.69,9.8
O000176,P0222,2,45.38,18.04
O000176,P0034,2,269.55,210.27
O000176,P0076,4,233.43,141.63
O000176,P0130,4,21.33,10
O000177,P0156,4,4.83,2.05
O000177,P0007,2,154.96,102.87
O000177,P0087,1,288.19,168.27
O000178,P0270,1,39.19,21.02
O000178,P0207,1,83.62,39.4
O000178,P0030,2,173.39,116.84
O000179,P0299,2,80.3,48.94
O000180,P0123,3,37.51,19.4
O000180,P0294,1,57.32,29.16
O000180,P0295,1,114.51,68.75
O000181,P0111,1,31.11,12.93
O000181,P0121,1,41.84,20.08
O000181,P0082,1,243.67,142.77
O000181,P0292,1,114.33,53.56
O000181,P0124,2,41.26,19.32
O000182,P0180,1,73.6,31.93
O000182,P0298,3,83.52,46.03
O000183,P0299,1,86.25,48.94
O000184,P0190,1,100.84,39.84
O000184,P0019,5,171.18,117.28
O000184,P0076,1,253.53,141.63
O000184,P0003,2,121.13,81.59
O000185,P0128,2,41.4,20.37
O000185,P0240,1,94.46,48.09
O000185,P0107,2,42.27,23.53
O000186,P0163,2,73.34,29.64
O000186,P0162,2,42.13,15.85
O000186,P0061,1,588.71,314.05
O000186,P0250,2,93.99,60.2
O000187,P0058,1,411.53,288.71
O000187,P0113,1,16.12,7.66
O000187,P0008,3,137.1,85.76
O000187,P0048,1,147.64,96.22
O000187,P0122,1,16.8,8.25
O000188,P0212,4,122.38,47.26
O000188,P0242,1,79.74,47.88
O000188,P0085,2,524.19,309.87
O000188,P0132,3,61.34,34.31
O000189,P0185,1,106.36,39.34
O000190,P0227,1,57.26,21.79
O000190,P0022,1,239.75,146.59
O000190,P0153,1,4.99,2.37
O000191,P0046,1,199.43,116.08
O000191,P0132,1,61.61,34.31
O000191,P0177,3,40.39,17.03
O000192,P0108,1,44.71,20.7
O000192,P0165,3,27.51,14.2
O000193,P0288,1,83.96,42.42
O000194,P0219,1,85.96,41.64
O000195,P0293,1,28.54,14.28
O000195,P0190,2,92.63,39.84
O000195,P0150,2,50.19,23.77
O000196,P0097,1,442.47,305.28
O000197,P0199,1,78.81,29.04
O000197,P0089,1,352.99,213.13
O000197,P0139,1,18.88,9.27
O000197,P0178,1,80.12,37.46
O000198,P0092,2,227.86,143.47
O000199,P0216,5,64.22,27.72
O000199,P0081,5,283.23,184.28
O000199,P0059,3,438.3,249.71
O000199,P0164,3,47.78,23.04
O000200,P0128,1,39.93,20.37
O000201,P0268,1,71.93,38.96
O000202,P0036,1,233.31,164.16
O000202,P0122,1,18.11,8.25
O000202,P0180,3,72.62,31.93
O000203,P0188,2,92.02,41.67
O000204,P0057,1,292.94,152.67
O000204,P0209,2,36.74,13.48
O000204,P0038,3,189.27,131.74
O000204,P0109,1,24.65,14.65
O000204,P0253,2,90.63,52
O000205,P0046,1,187.98,116.08
O000205,P0146,2,27.61,8.84
O000206,P0009,2,98.7,63.15
O000206,P0279,2,95.36,52.52
O000207,P0163,3,73.87,29.64
O000208,P0140,1,51.3,20.88
O000208,P0168,2,27.63,11.5
O000209,P0101,1,44.41,23.09
O000209,P0246,2,88.04,38.33
O000209,P0197,1,73.33,29.79
O000209,P0126,1,67.15,33.66
O000210,P0095,1,129.71,78.71
O000210,P0027,1,309.45,225.04
O000210,P0197,1,74.87,29.79
O000211,P0260,2,105.5,59.68
O000212,P0032,5,256.87,170.06
O000213,P0210,4,99.2,35.04
O000213,P0204,3,78.65,38.97
O000213,P0253,2,101.83,52
O000213,P0234,2,40.89,14.91
O000214,P0111,2,34.43,12.93
O000214,P0041,2,207.61,122.21
O000214,P0286,2,118.25,68.98
O000215,P0197,2,70.07,29.79
O000215,P0073,1,316.44,200.42
O000216,P0228,1,46.4,16.69
O000217,P0124,2,40.83,19.32
O000217,P0144,2,37.07,14.97
O000218,P0275,3,102.91,58.67
O000218,P0223,1,72.69,26.47
O000218,P0123,4,37.01,19.4
O000218,P0279,2,85.11,52.52
O000219,P0008,1,124.71,85.76
O000220,P0122,1,18.33,8.25
O000220,P0010,1,118.94,80.84
O000221,P0045,4,361.68,290.5
O000221,P0051,5,111.93,71.32
O000221,P0172,1,51.11,23.96
O000221,P0247,3,113.2,64.18
O000221,P0168,5,29.15,11.5
O000222,P0069,2,310.25,173.91
O000222,P0024,3,279.88,216.05
O000223,P0239,1,89.99,48.52
O000223,P0288,1,74.39,42.42
O000224,P0115,1,36.84,19.33
O000224,P0232,1,73.63,34.28
O000225,P0289,2,85.02,43.82
O000226,P0288,1,81.49,42.42
O000226,P0193,1,105.7,53.82
O000227,P0283,2,68.68,38.36
O000227,P0258,2,127.91,63.68
O000228,P0159,3,35.46,18
O000229,P0064,2,393.15,232.51
O000230,P0162,1,46.7,15.85
O000231,P0107,1,39.65,23.53
O000231,P0175,1,36.12,15.18
O000231,P0236,1,138.22,76.29
O000231,P0197,1,67.43,29.79
O000232,P0139,3,18.28,9.27
O000232,P0094,2,347.15,223.8
O000233,P0248,1,108.74,62.41
O000234,P0124,1,39.08,19.32
O000234,P0155,1,78.52,30.14
O000235,P0216,1,66.85,27.72
O000235,P0062,3,102.94,77.57
O000235,P0293,1,25.99,14.28
O000236,P0210,2,89.32,35.04
O000236,P0207,3,80.48,39.4
O000237,P0266,3,121.25,56.79
O000238,P0087,4,299.14,168.27
O000238,P0237,5,68.6,29.15
O000238,P0041,5,176.55,122.21
O000238,P0256,2,158.74,74.69
O000238,P0285,3,70.13,40.73
O000239,P0265,1,119.13,67.58
O000239,P0236,1,131.37,76.29
O000240,P0247,1,111.25,64.18
O000240,P0037,3,108.01,66.6
O000241,P0069,1,295.59,173.91
O000242,P0256,2,146.21,74.69
O000242,P0209,1,32.88,13.48
O000242,P0127,2,66.34,28.5
O000242,P0060,1,491.53,344.5
O000243,P0109,1,24.72,14.65
O000243,P0096,1,167.23,93.71
O000244,P0240,1,87.57,48.09
O000244,P0029,2,248,161.42
O000244,P0300,1,101.34,67.65
O000245,P0158,2,26.61,11.41
O000245,P0184,1,82.16,34.74
O000245,P0210,1,92.15,35.04
O000246,P0284,1,100.34,47.22
O000247,P0164,1,47.88,23.04
O000247,P0017,1,356.04,276.98
O000248,P0140,1,49.3,20.88
O000248,P0113,1,16.1,7.66
O000248,P0116,1,77.55,38.04
O000249,P0216,1,67.04,27.72
O000249,P0225,2,107.95,48.28
O000250,P0114,2,42.6,22.62
O000250,P0265,1,117.87,67.58
O000250,P0281,1,103.1,50.24
O000250,P0176,4,49.25,17.91
O000251,P0115,5,36.75,19.33
O000251,P0038,4,202.45,131.74
O000251,P0123,4,34.89,19.4
O000251,P0053,2,315.94,195.05
O000252,P0023,1,203.59,140.1
O000253,P0274,2,96.43,52.26
O000253,P0178,1,75.85,37.46
O000254,P0042,5,226.85,157.79
O000254,P0216,4,64.61,27.72
O000255,P0188,2,92.48,41.67
O000256,P0060,1,551.34,344.5
O000257,P0159,1,37.08,18
O000257,P0271,1,152.82,74.27
O000257,P0177,1,39.81,17.03
O000257,P0121,1,36.66,20.08
O000258,P0118,3,31.28,13.73
O000259,P0012,2,192.33,144.29
O000260,P0268,3,77.33,38.96
O000260,P0025,1,265.88,177.08
O000260,P0223,1,73.77,26.47
O000260,P0194,1,89.33,40.15
O000261,P0073,2,315.62,200.42
O000261,P0249,1,49.63,25.82
O000262,P0261,1,126.01,73.01
O000262,P0009,3,102.61,63.15
O000262,P0061,1,564.03,314.05
O000262,P0086,1,287.38,183.1
O000263,P0069,2,329.45,173.91
O000263,P0113,1,15.16,7.66
O000263,P0165,3,25.3,14.2
O000263,P0150,1,49.66,23.77
O000264,P0016,1,153.5,102.3
O000265,P0199,5,76.08,29.04
O000266,P0142,1,49.15,21.25
O000266,P0111,1,31.56,12.93
O000267,P0085,1,513.62,309.87
O000268,P0218,1,12.58,4.91
O000269,P0049,2,329.71,201.14
O000269,P0186,2,64.31,28.6
O000269,P0085,3,522.65,309.87
O000269,P0043,2,116.78,77.51
O000269,P0115,3,34.19,19.33
O000269,P0225,2,106.52,48.28
O000270,P0095,1,120.17,78.71
O000270,P0189,1,65.37,27.81
O000270,P0288,2,84.34,42.42
O000271,P0198,1,106.26,48.01
O000271,P0223,1,69.25,26.47
O000272,P0243,3,102.81,50.45
O000272,P0298,1,77.45,46.03
O000272,P0035,1,205.18,155.56
O000273,P0046,2,209.76,116.08
O000273,P0064,1,400.57,232.51
O000274,P0012,1,185.25,144.29
O000274,P0287,1,102.06,59.64
O000275,P0032,1,243.22,170.06
O000275,P0238,2,33.27,17.86
O000276,P0275,3,104.62,58.67
O000276,P0014,2,166.07,104.09
O000276,P0266,3,112.79,56.79
O000276,P0125,2,34.76,19.41
O000276,P0114,1,46.92,22.62
O000277,P0059,2,455.87,249.71
O000277,P0176,2,48.95,17.91
O000278,P0194,2,88.07,40.15
O000279,P0208,2,75.35,38.44
O000280,P0200,1,76.76,35.11
O000280,P0019,2,165.75,117.28
O000280,P0111,2,31.84,12.93
O000280,P0044,2,266.11,199.81
O000281,P0286,1,112.03,68.98
O000281,P0004,1,248.94,165.29
O000281,P0276,1,125.15,74.14
O000281,P0143,3,36.15,17.65
O000282,P0120,4,46.6,19.66
O000282,P0164,2,46.36,23.04
O000283,P0168,2,30.78,11.5
O000283,P0213,1,57.56,23.34
O000283,P0012,1,184.18,144.29
O000283,P0086,1,297.31,183.1
O000284,P0267,1,145.27,82.84
O000284,P0255,1,122.01,64.14
O000284,P0227,1,50.04,21.79
O000285,P0033,1,267.66,177.46
O000285,P0130,1,19.75,10
O000285,P0055,3,339.64,236.11
O000285,P0154,2,37.08,17.74
O000285,P0266,2,118.22,56.79
O000286,P0105,1,49.04,17.85
O000287,P0028,3,214.92,131.12
O000287,P0085,2,504.58,309.87
O000288,P0107,2,38.45,23.53
O000289,P0205,1,104.27,51.3
O000289,P0230,3,33.71,13.32
O000289,P0063,1,234.66,148.19
O000290,P0090,2,380.98,185.86
O000290,P0041,1,183.94,122.21
O000291,P0092,2,230.55,143.47
O000291,P0049,3,315.68,201.14
O000291,P0297,1,121.14,74.56
O000291,P0022,2,216.93,146.59
O000292,P0069,1,323.35,173.91
O000292,P0120,2,48.52,19.66
O000293,P0217,2,108.05,33.82
O000294,P0281,1,91.74,50.24
O000294,P0112,1,14.8,7.79
O000294,P0068,1,374.45,210.52
O000295,P0142,1,51.26,21.25
O000295,P0001,2,278.94,183.35
O000296,P0282,1,151.92,83.91
O000296,P0112,1,16.31,7.79
O000296,P0116,1,73.55,38.04
O000297,P0100,2,309.11,175.41
O000297,P0124,2,39.92,19.32
O000298,P0048,1,141.92,96.22
O000298,P0111,4,32.02,12.93
O000299,P0211,1,51.63,21.06
O000299,P0111,2,34.02,12.93
O000300,P0298,2,78.06,46.03
O000300,P0174,2,58.1,19.82
O000300,P0180,1,73.76,31.93
O000300,P0219,1,88.85,41.64
O000301,P0152,1,50.75,26.59
O000301,P0266,1,120.71,56.79
O000301,P0003,1,116.59,81.59
O000302,P0127,4,73.02,28.5
O000302,P0023,2,194.88,140.1
O000302,P0218,4,13.88,4.91
O000302,P0207,3,83.9,39.4
O000303,P0106,1,25.93,12.14
O000303,P0298,3,87.74,46.03
O000303,P0107,1,40.16,23.53
O000303,P0065,1,214.56,113.93
O000304,P0229,4,80.88,33.98
O000304,P0282,1,156.25,83.91
O000304,P0246,3,87.87,38.33
O000305,P0298,4,85.36,46.03
O000305,P0203,2,56.97,26.78
O000306,P0182,1,84.82,33.73
O000306,P0021,2,143.16,96.75
O000307,P0142,2,49.96,21.25
O000307,P0057,3,270.46,152.67
O000308,P0172,2,49.85,23.96
O000308,P0290,1,161.94,88.25
O000309,P0244,2,91.91,44.14
O000309,P0137,1,39.82,20.58
