customer_id,signup_date,region,segment,acquisition_channel,age,income
C00049,2023-01-20,West,Corporate,Search,39,60100
C00050,2023-05-16,West,Corporate,Search,38,87400
C00051,2024-01-22,South,Consumer,Search,28,84000
C00052,2025-01-14,Midwest,Consumer,Search,40,34000
C00053,2024-03-20,Midwest,Consumer,Email,43,101300
C00054,2024-01-26,South,Corporate,Social,19,86900
C00055,2024-02-06,Midwest,Corporate,Search,53,101800
C00056,2025-05-22,South,Corporate,Social,43,116700
C00057,2025-09-25,South,Small Business,Search,24,126400
C00058,2023-01-02,West,Consumer,Email,37,115500
C00059,2024-10-05,Northeast,Consumer,Search,36,45800
C00060,2024-12-29,Northeast,Consumer,Search,62,44700
C00061,2024-05-24,West,Small Business,Referral,63,46000
C00062,2024-02-14,West,Consumer,Search,47,52000
C00063,2023-12-28,West,Small Business,Social,27,91800
C00064,2023-06-11,Northeast,Consumer,Search,42,28100
C00065,2024-12-20,South,Corporate,Email,69,83700
C00066,2023-11-09,Midwest,Consumer,Search,50,34200
C00067,2025-09-04,South,Consumer,Search,23,50400
C00068,2025-10-11,Northeast,Small Business,Social,18,68400
C00069,2025-01-26,South,Consumer,Social,33,59300
C00070,2024-07-25,South,Consumer,Search,34,89100
C00071,2024-08-31,Northeast,Corporate,Search,34,48500
C00072,2024-12-22,South,Consumer,Referral,39,60500
C00073,2025-07-12,West,Small Business,Social,37,74200
C00074,2025-10-11,West,Consumer,Social,32,22900
C00075,2025-02-05,Northeast,Corporate,Email,32,91200
C00076,2024-08-10,Midwest,Consumer,Social,23,39500
C00077,2023-03-23,Northeast,Consumer,Email,48,96300
C00078,2024-01-31,Northeast,Consumer,Social,44,48200
C00079,2024-12-17,South,Corporate,Social,48,130400
C00080,2023-08-14,Northeast,Consumer,Search,39,48100
C00081,2024-06-17,South,Corporate,Email,29,96000
C00082,2024-05-13,South,Small Business,Search,48,33500
C00083,2024-01-09,West,Corporate,Referral,29,107700
C00084,2023-10-17,South,Corporate,Social,19,26200
C00085,2025-10-25,Midwest,Corporate,Email,40,115200
C00086,2025-08-04,West,Small Business,Referral,46,90400
C00087,2023-12-04,South,Small Business,Email,35,71500
C00088,2023-07-07,South,Consumer,Email,43,43900
C00089,2024-12-21,West,Small Business,Referral,35,107900
C00090,2025-08-19,West,Small Business,Search,38,78100
C00091,2024-06-09,South,Small Business,Search,31,99600
C00092,2025-04-20,West,Small Business,Search,23,59900
C00093,2024-03-29,Northeast,Consumer,Search,39,45100
C00094,2024-01-16,South,Consumer,Search,37,63800
C00095,2023-07-01,South,Corporate,Email,46,79900
C00096,2025-01-15,West,Consumer,Search,41,80500
C00097,2024-08-22,West,Consumer,Referral,42,94100
C00098,2025-08-25,Midwest,Consumer,Referral,18,29000
C00099,2023-07-02,Northeast,Small Business,Search,49,118100
C00100,2023-05-25,West,Consumer,Search,33,22000
C00101,2023-07-25,South,Consumer,Social,33,27100
C00102,2025-04-25,Midwest,Consumer,Search,59,
C00103,2024-03-28,Northeast,Consumer,Social,45,46800
C00104,2025-10-12,West,Consumer,Referral,19,96300
C00105,2023-11-21,Midwest,Corporate,Email,40,73300
C00106,2024-02-16,Midwest,Small Business,Search,40,64000
C00107,2023-09-03,South,Small Business,Social,30,47800
C00108,2024-01-08,West,Corporate,Search,19,106100
C00109,2023-01-29,West,Corporate,Referral,30,136100
C00110,2024-05-02,South,Corporate,Search,43,84900
C00111,2025-06-26,South,Small Business,Email,43,70400
C00112,2025-04-02,West,Consumer,Search,22,55400
C00113,2023-03-01,South,Consumer,Social,35,48500
C00114,2023-02-09,Northeast,Corporate,Social,30,106400
C00115,2024-05-26,West,Small Business,Search,45,61100
C00116,2024-10-30,South,Small Business,Email,62,80900
C00117,2025-10-19,South,Consumer,Social,44,38400
C00118,2025-10-01,West,Consumer,Social,39,72000
C00119,2024-04-13,Northeast,Consumer,Search,44,32300
C00120,2024-10-22,West,Consumer,Search,38,24500
C00121,2023-03-06,Midwest,Consumer,Email,20,99000
C00122,2025-02-06,West,Small Business,Search,30,46400
C00123,2023-12-26,Northeast,Corporate,Search,47,97400
C00124,2024-11-18,Northeast,Consumer,Social,38,22000
C00125,2025-02-10,Northeast,Corporate,Email,39,92100
C00126,2023-11-08,Midwest,Consumer,Social,49,88400
C00127,2024-07-28,Midwest,Small Business,Referral,22,88400
C00128,2025-07-26,West,Consumer,Search,39,45300
C00129,2025-04-22,Midwest,Corporate,Search,18,93800
C00130,2024-12-08,West,Consumer,Search,70,47400
C00131,2023-02-06,South,Small Business,Search,33,83600
C00132,2023-09-21,South,Consumer,Email,43,119200
C00133,2023-04-05,Northeast,Corporate,Search,43,61400
C00134,2025-01-16,South,Corporate,Email,55,112200
C00135,2024-12-14,West,Consumer,Search,50,44700
C00136,2024-04-30,Midwest,Small Business,Search,35,73000
C00137,2023-07-26,Midwest,Corporate,Referral,28,106100
C00138,2024-01-29,West,Consumer,Referral,45,60900
C00139,2024-02-29,South,Consumer,Search,22,58900
C00140,2024-03-27,South,Consumer,Social,44,74300
C00141,2024-02-04,Northeast,Small Business,Search,71,45200
C00142,2023-10-24,South,Consumer,Search,61,65300
C00143,2025-05-10,Midwest,Corporate,Social,36,68000
C00144,2024-10-23,West,Corporate,Search,34,82600
C00145,2025-06-28,West,Consumer,Social,29,70800
C00146,2024-04-09,South,Corporate,Search,43,96400
C00147,2023-09-18,South,Small Business,Social,35,87200
C00148,2024-12-01,Northeast,Small Business,Search,42,95500
C00149,2023-03-04,West,Consumer,Email,35,26400
C00150,2024-02-13,South,Consumer,Referral,49,28000
C00151,2023-10-20,West,Corporate,Social,33,132400
C00152,2023-11-14,West,Consumer,Search,57,54900
C00153,2024-05-06,Midwest,Corporate,Social,35,74800
C00154,2023-07-14,West,Corporate,Email,18,68200
C00155,2023-08-23,West,Corporate,Search,51,101000
C00156,2024-07-07,Midwest,Corporate,Search,32,94400
C00157,2023-11-17,West,Consumer,Social,54,82300
C00158,2025-10-14,South,Corporate,Search,69,137000
C00159,2023-06-03,South,Corporate,Email,40,109700
C00160,2024-07-07,Midwest,Corporate,Referral,34,99400
C00161,2023-04-02,West,Consumer,Search,52,61000
C00162,2023-02-02,Northeast,Small Business,Social,57,84300
C00163,2023-12-04,South,Corporate,Social,37,94200
C00164,2024-09-15,West,Consumer,Search,27,64400
C00165,2024-12-28,West,Corporate,Email,45,117800
C00166,2024-09-11,Midwest,Consumer,Search,42,52000
C00167,2023-11-02,West,Consumer,Search,21,85800
C00168,2023-12-14,South,Corporate,Referral,55,143000
C00169,2024-12-27,Northeast,Small Business,Email,21,106500
C00170,2025-03-02,South,Consumer,Referral,38,78700
C00171,2025-07-29,Northeast,Consumer,Search,48,94600
C00172,2025-01-23,Northeast,Corporate,Referral,32,62600
C00173,2025-09-04,Midwest,Consumer,Social,46,102400
C00174,2023-12-20,South,Small Business,Search,18,64700
C00175,2025-08-27,West,Consumer,Social,33,39500
C00176,2025-07-03,Midwest,Consumer,Search,18,103300
C00177,2024-11-14,Midwest,Consumer,Referral,33,23100
C00178,2024-06-24,West,Consumer,Search,45,129500
C00179,2023-10-07,Midwest,Corporate,Search,18,96500
C00180,2024-08-22,South,Consumer,Social,29,89100
C00181,2024-11-24,South,Consumer,Search,33,
C00182,2024-06-13,South,Consumer,Search,39,119800
C00183,2025-02-01,South,Consumer,Referral,36,38300
C00184,2025-07-27,Midwest,Consumer,Email,57,22000
C00185,2023-11-25,Midwest,Consumer,Referral,28,71100
C00186,2025-01-23,Midwest,Small Business,Email,55,115400
C00187,2025-06-30,West,Consumer,Search,47,53500
C00188,2024-06-24,West,Consumer,Search,22,95100
C00189,2023-11-30,West,Consumer,Social,66,77800
C00190,2023-04-28,South,Consumer,Email,36,72300
C00191,2024-07-22,West,Corporate,Referral,30,133100
C00192,2024-06-25,Northeast,Consumer,Referral,33,43400
C00193,2024-11-12,Midwest,Consumer,Search,47,47800
C00194,2024-12-04,Northeast,Corporate,Search,42,73300
C00195,2025-10-26,West,Consumer,Email,22,46900
C00196,2025-04-02,West,Consumer,Referral,22,113700
C00197,2023-03-01,South,Small Business,Search,51,113700
C00198,2023-08-24,Midwest,Small Business,Search,21,121100
C00199,2024-10-13,South,Consumer,Referral,48,32700
C00200,2023-11-20,Midwest,Consumer,Search,40,22000
C00201,2025-10-05,South,Consumer,Referral,34,53600
C00202,2023-03-14,West,Small Business,Referral,39,41400
C00203,2023-01-04,South,Small Business,Search,42,118900
C00204,2025-10-25,Northeast,Consumer,Email,38,57400
C00205,2025-02-09,Northeast,Consumer,Search,28,52800
C00206,2023-03-29,South,Consumer,Email,45,45600
C00207,2024-04-10,Northeast,Small Business,Social,50,91500
C00208,2025-01-02,West,Consumer,Search,32,48500
C00209,2024-11-06,Northeast,Corporate,Social,29,112000
C00210,2023-10-27,West,Consumer,Search,38,85100
C00211,2023-11-20,South,Small Business,Search,24,46400
C00212,2025-07-10,West,Small Business,Social,25,96900
C00213,2025-10-06,South,Consumer,Search,33,
C00214,2023-03-04,Northeast,Consumer,Search,46,66900
C00215,2023-04-07,Northeast,Corporate,Social,53,90000
C00216,2024-12-14,West,Small Business,Email,49,95700
C00217,2023-01-20,Midwest,Corporate,Search,73,107500
C00218,2024-05-09,West,Small Business,Referral,30,94700
C00219,2024-11-05,Midwest,Consumer,Social,39,42100
C00220,2024-07-23,Midwest,Corporate,Social,38,70700
C00221,2023-08-11,Northeast,Consumer,Referral,31,33500
C00222,2024-03-05,Northeast,Corporate,Search,37,48000
C00223,2023-07-22,Midwest,Consumer,Email,46,70900
C00224,2025-06-03,Northeast,Consumer,Search,32,84600
C00225,2023-08-27,Northeast,Small Business,Referral,41,123200
C00226,2024-05-13,Midwest,Consumer,Referral,53,53800
C00227,2023-04-17,South,Consumer,Social,30,80700
C00228,2025-03-14,West,Consumer,Referral,53,28400
C00229,2023-01-02,Midwest,Corporate,Email,62,150100
C00230,2025-06-08,West,Corporate,Email,26,57700
C00231,2024-03-10,Midwest,Consumer,Social,41,102700
C00232,2025-01-14,Midwest,Consumer,Email,36,32200
C00233,2023-07-12,Midwest,Consumer,Email,41,26800
C00234,2024-08-18,Northeast,Small Business,Search,48,32500
C00235,2024-11-27,Northeast,Consumer,Social,32,22000
C00236,2025-04-25,Northeast,Corporate,Search,29,112700
C00237,2023-05-01,South,Corporate,Search,30,136500
C00238,2025-09-07,Midwest,Small Business,Search,24,52600
C00239,2024-07-14,West,Small Business,Email,57,134700
C00240,2024-02-06,South,Consumer,Search,44,126000
C00241,2024-09-11,West,Consumer,Search,42,43300
C00242,2025-11-03,Midwest,Consumer,Referral,61,52600
C00243,2023-10-25,Northeast,Small Business,Referral,26,77500
C00244,2024-04-13,South,Consumer,Referral,30,35600
C00245,2025-08-18,West,Corporate,Social,44,39800
C00246,2023-10-08,South,Consumer,Social,48,
C00247,2023-03-12,South,Small Business,Search,19,83400
C00248,2024-06-21,West,Consumer,Email,42,35800
C00249,2023-01-27,West,Corporate,Search,37,89100
C00250,2023-11-05,South,Corporate,Search,23,97300
C00251,2024-08-01,Northeast,Consumer,Search,57,42900
C00252,2024-01-18,West,Consumer,Social,65,45600
C00253,2024-12-30,Northeast,Consumer,Email,21,65000
C00254,2024-06-06,Midwest,Consumer,Search,44,59800
C00255,2024-04-20,South,Small Business,Email,49,117300
C00256,2024-08-18,South,Consumer,Search,25,89300
C00257,2023-03-23,Northeast,Consumer,Social,19,64900
C00258,2024-07-07,South,Corporate,Email,40,82000
C00259,2025-08-15,West,Consumer,Social,44,113400
C00260,2025-05-02,South,Small Business,Search,54,53700
C00261,2023-04-27,Midwest,Consumer,Referral,28,85800
C00262,2023-06-06,West,Consumer,Search,31,80300
C00263,2025-04-29,Northeast,Corporate,Referral,36,110100
C00264,2024-03-22,South,Small Business,Search,25,81200
C00265,2024-08-06,Northeast,Corporate,Search,42,90300
C00266,2023-07-24,West,Consumer,Email,26,36700
C00267,2024-04-18,West,Corporate,Referral,44,109700
C00268,2024-10-05,South,Corporate,Search,18,33400
C00269,2024-11-25,Midwest,Corporate,Search,50,109700
C00270,2023-09-22,Midwest,Consumer,Search,43,
C00271,2023-09-12,Northeast,Consumer,Referral,52,50700
C00272,2023-10-16,South,Consumer,Email,51,39300
C00273,2025-03-03,Northeast,Consumer,Email,18,27800
C00274,2023-03-01,West,Consumer,Social,27,37300
C00275,2023-09-09,South,Consumer,Referral,38,55000
C00276,2024-05-02,South,Consumer,Email,23,72800
C00277,2023-09-08,South,Corporate,Email,40,128000
C00278,2025-04-11,Northeast,Corporate,Social,26,98500
C00279,2025-02-08,West,Consumer,Search,27,89200
C00280,2025-05-13,West,Corporate,Social,18,90800
C00281,2025-04-05,West,Consumer,Referral,38,34100
C00282,2025-02-08,South,Small Business,Referral,34,92400
C00283,2023-09-10,West,Corporate,Email,18,83300
C00284,2024-08-12,Midwest,Small Business,Social,29,81500
C00285,2025-02-14,South,Corporate,Search,47,110000
C00286,2025-10-14,South,Small Business,Email,39,81900
C00287,2024-08-15,South,Corporate,Search,35,106300
C00288,2025-05-18,West,Consumer,Search,44,63600
C00289,2025-10-15,West,Corporate,Email,40,131300
C00290,2023-05-03,Northeast,Consumer,Search,40,103600
C00291,2025-03-30,West,Consumer,Email,41,69100
C00292,2024-07-04,South,Corporate,Email,36,80800
C00293,2025-02-14,Midwest,Small Business,Referral,37,39900
C00294,2023-10-11,Northeast,Consumer,Referral,23,51500
C00295,2023-12-15,South,Small Business,Referral,40,82500
C00296,2025-08-31,West,Consumer,Social,36,33700
C00297,2023-11-02,South,Consumer,Referral,54,22000
C00298,2024-09-25,West,Small Business,Search,39,80400
C00299,2024-09-05,South,Consumer,Email,67,56300
C00300,2024-11-09,Midwest,Small Business,Referral,35,94000
C00301,2023-08-29,Midwest,Corporate,Email,26,65600
C00302,2024-01-08,South,Corporate,Referral,27,62500
C00303,2024-06-16,South,Consumer,Social,30,60500
C00304,2025-04-20,Northeast,Consumer,Search,46,74700
C00305,2025-08-18,South,Consumer,Social,46,98900
C00306,2023-05-20,Midwest,Consumer,Social,29,22000
C00307,2024-01-22,Midwest,Small Business,Referral,26,78000
C00308,2024-04-14,South,Corporate,Search,42,107600
C00309,2024-03-12,South,Small Business,Search,32,28900
C00310,2025-02-27,Northeast,Small Business,Search,21,101300
C00311,2024-08-13,South,Consumer,Social,32,62100
C00312,2024-10-14,West,Consumer,Referral,35,83100
C00313,2025-03-20,West,Consumer,Search,47,104000
C00314,2023-02-15,West,Corporate,Referral,31,109200
C00315,2025-11-15,Midwest,Consumer,Social,18,63600
C00316,2024-07-25,Midwest,Consumer,Referral,38,78100
C00317,2024-08-31,Northeast,Consumer,Search,48,76000
C00318,2024-01-19,Midwest,Consumer,Email,27,62500
C00319,2024-11-22,South,Small Business,Social,30,73700
C00320,2025-05-30,West,Consumer,Search,37,58300
C00321,2023-07-19,Northeast,Corporate,Search,36,87300
C00322,2025-02-09,Northeast,Consumer,Social,37,24600
C00323,2023-08-18,Midwest,Consumer,Social,42,69100
C00324,2025-05-24,South,Small Business,Search,19,86700
C00325,2025-11-14,Northeast,Corporate,Email,33,84100
C00326,2025-04-24,South,Consumer,Email,36,59500
C00327,2025-08-05,South,Consumer,Referral,45,92800
C00328,2023-10-04,West,Consumer,Social,31,22000
C00329,2024-10-08,West,Corporate,Social,61,91700
C00330,2023-06-04,South,Small Business,Email,29,132600
C00331,2025-08-23,West,Corporate,Social,45,132300
C00332,2025-10-27,West,Consumer,Search,53,25100
C00333,2025-09-11,South,Corporate,Referral,41,64200
C00334,2024-06-22,West,Consumer,Email,18,78600
C00335,2023-06-14,West,Consumer,Social,25,71000
C00336,2024-05-04,West,Consumer,Social,45,82800
C00337,2024-01-19,South,Corporate,Search,56,98500
C00338,2023-03-03,South,Small Business,Social,64,59500
C00339,2025-11-13,South,Small Business,Search,38,100400
C00340,2023-09-08,Northeast,Consumer,Search,44,57900
C00341,2025-01-02,Northeast,Consumer,Search,41,89400
C00342,2025-01-22,Northeast,Small Business,Search,24,77800
C00343,2024-03-15,Midwest,Small Business,Email,30,112700
C00344,2024-06-04,West,Small Business,Referral,46,58200
C00345,2024-05-03,South,Small Business,Social,68,78500
C00346,2023-07-07,West,Consumer,Email,50,76100
C00347,2025-03-03,West,Consumer,Search,26,79400
C00348,2024-07-31,South,Consumer,Search,22,64000
C00349,2025-01-27,West,Consumer,Referral,48,29600
C00350,2023-07-13,South,Consumer,Email,32,44300
C00351,2025-03-09,West,Corporate,Email,41,115500
C00352,2025-07-31,West,Consumer,Search,27,45700
C00353,2024-07-22,Northeast,Small Business,Social,30,79500
C00354,2023-03-17,Northeast,Corporate,Email,50,51200
C00355,2025-07-08,Northeast,Small Business,Search,39,110600
C00356,2025-11-08,West,Consumer,Search,33,22000
C00357,2025-03-22,West,Small Business,Referral,42,79000
C00358,2025-04-20,Northeast,Consumer,Search,27,27500
C00359,2025-05-19,West,Corporate,Search,51,166700
C00360,2023-03-05,West,Small Business,Referral,57,72600
C00361,2025-03-23,West,Consumer,Email,50,105600
C00362,2025-07-15,Northeast,Consumer,Email,41,114000
C00363,2025-09-30,South,Consumer,Email,18,22000
C00364,2024-06-28,Midwest,Corporate,Search,38,90700
C00365,2023-07-02,Midwest,Consumer,Social,21,55200
C00366,2025-09-23,West,Consumer,Email,35,124500
C00367,2025-08-12,Northeast,Small Business,Social,37,52700
C00368,2025-06-17,Midwest,Consumer,Email,55,51800
C00369,2025-08-19,Midwest,Corporate,Referral,47,84500
C00370,2025-07-10,West,Consumer,Search,66,59100
C00371,2024-09-20,Midwest,Consumer,Social,63,80400
C00372,2023-01-10,West,Consumer,Search,35,46800
C00373,2023-04-12,South,Consumer,Social,18,41800
C00374,2025-01-16,South,Small Business,Social,18,118100
C00375,2024-08-07,West,Consumer,Email,42,49000
C00376,2024-10-02,West,Corporate,Search,37,74200
C00377,2024-01-25,South,Corporate,Email,41,139200
C00378,2025-04-18,Northeast,Consumer,Referral,39,74400
C00379,2023-03-21,West,Consumer,Email,52,30100
C00380,2024-11-08,South,Consumer,Search,21,57700
C00381,2025-09-05,South,Consumer,Search,36,35100
C00382,2025-07-07,South,Consumer,Search,43,89400
C00383,2025-04-02,Midwest,Consumer,Search,67,49200
C00384,2024-01-31,Northeast,Consumer,Search,34,98600
C00385,2023-12-24,South,Consumer,Referral,33,36800
C00386,2023-01-31,Midwest,Corporate,Social,25,121300
C00387,2024-07-24,South,Corporate,Referral,20,126700
C00388,2024-09-14,South,Consumer,Search,37,40000
C00389,2025-01-16,Northeast,Consumer,Social,36,65800
C00390,2025-03-06,South,Corporate,Social,41,68100
C00391,2025-04-28,West,Consumer,Social,41,87900
C00392,2024-07-02,South,Corporate,Email,32,126700
C00393,2023-01-26,South,Consumer,Email,56,59900
C00394,2024-08-22,West,Small Business,Search,18,123800
C00395,2025-05-23,Northeast,Consumer,Search,45,44400
C00396,2025-11-04,West,Corporate,Social,48,131100
C00397,2024-09-08,West,Consumer,Referral,29,22000
C00398,2025-05-31,Northeast,Consumer,Email,66,62200
C00399,2024-01-27,West,Consumer,Search,47,22000
C00400,2024-10-23,Midwest,Consumer,Referral,47,38700
C00401,2025-07-23,Northeast,Consumer,Social,56,93600
C00402,2025-06-01,Northeast,Corporate,Email,47,110400
C00403,2025-04-03,South,Consumer,Social,35,34300
C00404,2023-09-29,West,Corporate,Social,35,138600
C00405,2024-02-18,West,Consumer,Search,40,101800
C00406,2023-08-12,West,Small Business,Email,63,75500
C00407,2024-10-14,West,Consumer,Search,35,39100
C00408,2025-01-15,Northeast,Consumer,Email,34,27800
C00409,2023-01-04,West,Consumer,Search,39,57600
C00410,2023-10-06,West,Consumer,Search,42,42200
C00411,2023-06-28,South,Small Business,Search,44,25400
C00412,2025-01-30,West,Corporate,Search,51,84100
C00413,2023-09-17,South,Consumer,Email,23,50800
C00414,2025-06-02,South,Corporate,Email,52,125900
C00415,2024-07-14,Northeast,Small Business,Search,52,114000
C00416,2025-01-31,West,Small Business,Referral,37,84700
C00417,2024-03-17,South,Corporate,Email,31,73800
C00418,2025-01-09,Northeast,Consumer,Search,49,61100
C00419,2023-06-11,West,Consumer,Social,35,82200
C00420,2024-07-24,Midwest,Small Business,Search,18,65800
C00421,2023-08-23,West,Consumer,Search,27,69300
C00422,2024-10-23,Northeast,Consumer,Social,18,69100
C00423,2025-09-07,Northeast,Small Business,Email,31,90800
C00424,2024-03-30,West,Corporate,Email,35,116200
C00425,2024-11-04,South,Consumer,Email,33,79700
C00426,2024-12-10,West,Corporate,Referral,30,110700
C00427,2023-12-10,South,Consumer,Social,40,41300
C00428,2025-09-25,Northeast,Small Business,Search,18,103800
C00429,2023-04-12,South,Consumer,Social,49,38800
C00430,2023-11-26,South,Corporate,Social,45,128500
C00431,2023-02-23,Northeast,Consumer,Email,64,46000
C00432,2024-07-09,West,Consumer,Referral,24,42200
C00433,2023-05-18,Northeast,Consumer,Referral,18,62500
C00434,2024-02-23,South,Consumer,Referral,62,52600
C00435,2023-11-18,Northeast,Corporate,Social,41,112900
C00436,2025-05-06,Northeast,Consumer,Social,50,37000
C00437,2023-05-23,South,Consumer,Social,33,47900
C00438,2023-06-09,West,Small Business,Search,44,38300
C00439,2024-11-09,South,Corporate,Social,29,87400
C00440,2023-05-02,Midwest,Consumer,Search,35,22000
C00441,2025-07-30,South,Consumer,Email,24,35700
C00442,2024-11-06,West,Consumer,Referral,51,78200
C00443,2025-07-22,West,Consumer,Search,50,39300
C00444,2024-06-18,South,Corporate,Email,41,131500
C00445,2025-10-10,West,Corporate,Social,22,85900
C00446,2024-04-05,Northeast,Small Business,Social,21,83500
C00447,2025-01-09,West,Consumer,Search,40,42900
C00448,2024-05-12,Northeast,Consumer,Referral,37,27200
C00449,2023-05-17,South,Consumer,Search,52,50300
C00450,2024-02-26,Northeast,Corporate,Social,18,152000
C00451,2025-03-28,South,Consumer,Email,46,104800
C00452,2023-04-04,South,Corporate,Email,23,91100
C00453,2024-05-30,South,Small Business,Search,40,84900
C00454,2025-05-16,Northeast,Corporate,Referral,54,65800
C00455,2024-12-19,West,Corporate,Search,30,108600
C00456,2023-06-10,West,Small Business,Email,25,119000
C00457,2025-08-19,Midwest,Consumer,Search,39,63700
C00458,2024-01-17,Midwest,Small Business,Search,51,82300
C00459,2025-06-22,West,Corporate,Search,40,45800
C00460,2025-04-09,South,Small Business,Social,18,49800
C00461,2025-07-17,West,Consumer,Social,46,84600
C00462,2024-04-23,West,Consumer,Search,35,53900
C00463,2023-12-14,West,Consumer,Search,34,54500
C00464,2024-01-26,West,Consumer,Referral,52,78400
C00465,2025-11-10,Midwest,Consumer,Search,41,22000
C00466,2023-08-05,South,Corporate,Search,46,176900
C00467,2023-02-28,Northeast,Corporate,Referral,31,145900
C00468,2025-05-27,South,Corporate,Social,64,74400
C00469,2024-10-27,West,Consumer,Referral,24,26500
C00470,2025-08-15,Midwest,Consumer,Email,48,58800
C00471,2023-03-03,Midwest,Consumer,Social,28,87200
C00472,2025-02-03,West,Corporate,Email,49,68800
C00473,2024-09-18,South,Corporate,Email,35,81100
C00474,2025-01-06,West,Corporate,Social,29,102800
C00475,2025-01-28,West,Corporate,Email,43,35200
C00476,2024-07-31,West,Corporate,Search,43,113900
C00477,2024-11-16,Midwest,Consumer,Search,39,69800
C00478,2025-10-22,Northeast,Small Business,Email,50,94300
C00479,2025-07-17,Midwest,Corporate,Search,55,108600
C00480,2023-08-28,South,Consumer,Email,23,57300
C00481,2023-12-17,South,Consumer,Search,35,35800
C00482,2024-10-21,Northeast,Corporate,Referral,78,102600
C00483,2024-10-24,Northeast,Corporate,Referral,18,107900
C00484,2025-04-17,West,Corporate,Referral,53,85500
C00485,2024-04-25,Midwest,Corporate,Social,51,77100
C00486,2023-08-02,South,Small Business,Search,28,85200
C00487,2025-09-04,West,Small Business,Search,49,43700
C00488,2024-10-14,West,Corporate,Social,35,108600
C00489,2023-06-09,Northeast,Small Business,Email,46,110200
C00490,2024-06-12,West,Small Business,Referral,42,118400
C00491,2024-06-03,Northeast,Consumer,Search,58,61200
C00492,2025-01-27,Midwest,Small Business,Email,42,81800
C00493,2024-02-23,South,Small Business,Search,32,57900
C00494,2023-11-11,South,Consumer,Search,35,45200
C00495,2024-06-05,Northeast,Consumer,Social,18,82900
C00496,2023-02-25,Midwest,Consumer,Search,22,124500
C00497,2024-01-06,Northeast,Consumer,Social,33,47800
C00498,2023-05-08,West,Corporate,Email,37,118100
C00499,2023-03-12,Northeast,Corporate,Referral,31,90900
C00500,2025-04-22,West,Consumer,Social,30,49800
C00501,2025-10-10,South,Corporate,Search,22,130500
C00502,2023-12-12,Northeast,Corporate,Search,32,
C00503,2024-12-09,Midwest,Consumer,Referral,44,92700
C00504,2023-01-27,West,Consumer,Referral,22,84800
C00505,2024-12-03,South,Consumer,Referral,27,67500
C00506,2025-08-13,West,Consumer,Referral,51,83400
C00507,2025-04-20,South,Consumer,Email,26,78500
C00508,2023-08-26,West,Small Business,Social,67,85000
C00509,2023-05-29,Midwest,Small Business,Email,35,
C00510,2025-01-23,Northeast,Consumer,Social,38,95400
