order_id,customer_id,order_date,status,discount_pct,shipping_cost
O000119,C03984,2025-10-12,Completed,0.15,16.61
O000120,C04013,2024-09-17,Completed,0.15,8.35
O000121,C01747,2025-02-09,Completed,0.05,15.95
O000122,C01428,2024-03-16,Completed,0.2,12.11
O000123,C04380,2025-07-21,Completed,0.15,10.35
O000124,C04423,2024-05-10,Completed,0,19.38
O000125,C02233,2025-12-01,Cancelled,0,6.89
O000126,C02411,2024-03-18,Completed,0.15,14.64
O000127,C03787,2024-03-31,Completed,0.15,15.44
O000128,C01997,2025-12-24,Completed,0,17.02
O000129,C02112,2025-10-18,Completed,0.1,5.74
O000130,C03151,2025-09-22,Returned,0.1,17.24
O000131,C03531,2025-06-16,Returned,0.15,7.59
O000132,C04161,2024-04-27,Completed,0.15,14
O000133,C03939,2025-11-23,Returned,0.15,13.28
O000134,C00823,2024-03-09,Completed,0.05,5.09
O000135,C00928,2025-12-30,Completed,0.15,12.38
O000136,C00844,2024-01-23,Completed,0.2,9.15
O000137,C02037,2025-03-31,Completed,0.15,11.89
O000138,C02289,2025-04-09,Completed,0.3,6.35
O000139,C03562,2024-05-15,Cancelled,0.15,0
O000140,C01606,2024-11-02,Completed,0.15,19.18
O000141,C03518,2024-09-26,Cancelled,0.2,15.73
O000142,C01810,2024-08-01,Completed,0,7.23
O000143,C01419,2025-11-28,Completed,0.15,7.29
O000144,C01405,2025-03-18,Completed,0.05,15.63
O000145,C02598,2024-06-26,Completed,0.3,16.27
O000146,C03218,2025-02-01,Completed,0.15,14.73
O000147,C03418,2025-07-31,Completed,0.2,8.83
O000148,C03074,2024-07-03,Completed,0.2,17.67
O000149,C01948,2024-04-28,Completed,0.2,13.84
O000150,C02719,2024-10-11,Completed,0.2,10.31
O000151,C00841,2025-03-25,Completed,0.2,10.77
O000152,C03648,2024-09-11,Completed,0.3,11.14
O000153,C04183,2024-12-08,Completed,0.2,12.56
O000154,C00254,2025-01-25,Completed,0,8.81
O000155,C03747,2025-11-06,Cancelled,0.05,18.77
O000156,C04093,2025-06-07,Completed,0.1,11.59
O000157,C02183,2024-05-16,Completed,0.15,9.77
O000158,C01920,2025-07-15,Completed,0.3,18.93
O000159,C02374,2025-08-18,Completed,0.05,7.33
O000160,C03055,2025-06-16,Cancelled,0.2,15.81
O000161,C02954,2025-06-17,Completed,0.15,10.83
O000162,C02880,2025-06-30,Cancelled,0,3.85
O000163,C04631,2025-03-29,Completed,0,8.06
O000164,C01075,2025-10-31,Completed,0.05,10.61
O000165,C02084,2025-02-05,Completed,0.1,4.06
O000166,C01717,2025-06-24,Completed,0.1,9.59
O000167,C04486,2024-04-22,Completed,0.05,15.33
O000168,C01264,2025-01-08,Returned,0,6.69
O000169,C03399,2024-09-21,Cancelled,0.05,12.51
O000170,C03972,2024-02-06,Completed,0.15,6.69
O000171,C02742,2024-07-25,Completed,0.1,6.42
O000172,C04368,2025-09-05,Completed,0.2,14.13
O000173,C02483,2024-05-06,Completed,0.2,18.03
O000174,C04269,2024-06-23,Cancelled,0.15,11.44
O000175,C04628,2024-10-12,Completed,0.2,15.58
O000176,C03300,2024-02-12,Completed,0.15,10.11
O000177,C00522,2025-07-18,Completed,0.1,6.88
O000178,C02328,2025-10-29,Completed,0.2,13.64
O000179,C03924,2024-11-07,Completed,0.1,6.68
O000180,C04020,2025-01-24,Completed,0,5.94
O000181,C03041,2024-06-19,Completed,0.1,13.12
O000182,C02852,2024-08-03,Returned,0,21.07
O000183,C03445,2024-06-07,Completed,0.3,14.96
O000184,C02256,2024-07-14,Completed,0,9.99
O000185,C02185,2025-02-11,Completed,0.1,9.92
O000186,C02656,2025-08-16,Completed,0.1,10.26
O000187,C00579,2024-01-30,Completed,0.2,7.5
O000188,C01036,2025-02-27,Completed,0.15,12.88
O000189,C03510,2025-12-14,Completed,0.1,6.89
O000190,C04258,2025-09-11,Completed,0.1,16.16
O000191,C02338,2024-08-18,Completed,0.05,15.2
O000192,C02557,2025-11-16,Completed,0,6.95
O000193,C00506,2025-02-02,Completed,0.1,10.53
O000194,C04636,2025-11-07,Cancelled,0.1,14.18
O000195,C02336,2025-07-03,Cancelled,0.1,13.09
O000196,C02334,2025-03-19,Completed,0.2,11.25
O000197,C04229,2025-06-02,Completed,0.2,7.94
O000198,C02219,2024-03-16,Completed,0.15,8.17
O000199,C01526,2024-02-13,Completed,0.2,15.93
O000200,C02950,2024-06-11,Returned,0.2,6.97
O000201,C03469,2024-02-08,Cancelled,0.05,9.65
O000202,C02696,2025-03-24,Completed,0.05,13.88
O000203,C04301,2024-05-20,Completed,0.15,10.11
O000204,C04420,2025-10-08,Completed,0.1,9.12
O000205,C03981,2025-07-29,Completed,0.15,11.57
O000206,C00955,2025-10-07,Completed,0.2,12.8
O000207,C01508,2024-12-13,Completed,0.15,15.65
O000208,C01580,2025-06-27,Completed,0.3,12.14
O000209,C04438,2025-08-04,Completed,0.2,12.6
O000210,C02932,2025-04-26,Completed,0.2,11.14
O000211,C02248,2024-11-06,Completed,0,8.91
O000212,C01439,2024-03-06,Completed,0.2,13.71
O000213,C04618,2024-07-17,Completed,0,18.35
O000214,C01312,2024-08-13,Cancelled,0.05,15.95
O000215,C01206,2024-04-11,Cancelled,0.1,13.97
O000216,C02251,2025-05-26,Completed,0.05,9.69
O000217,C00724,2025-01-25,Completed,0.1,4.33
O000218,C03488,2024-04-29,Cancelled,0.15,7.78
O000219,C01939,2025-01-17,Completed,0.15,14.27
O000220,C00058,2024-04-29,Completed,0,13.46
O000221,C04420,2025-09-23,Completed,0,8.67
O000222,C00580,2025-04-05,Completed,0.2,10.08
O000223,C01305,2024-11-02,Completed,0.15,15.96
O000224,C03768,2024-05-16,Completed,0.1,12.26
O000225,C04006,2024-11-29,Completed,0.15,16.04
O000226,C00958,2025-11-17,Completed,0.05,0
O000227,C04640,2024-08-17,Completed,0.15,8.95
O000228,C01973,2025-11-01,Completed,0.1,9.95
O000229,C04099,2024-04-12,Completed,0.15,9.31
O000230,C03594,2025-09-12,Completed,0.05,5.16
O000231,C03275,2025-06-16,Completed,0.05,15.5
O000232,C00711,2025-05-15,Completed,0.15,14.36
O000233,C03281,2024-03-22,Completed,0.15,12.32
O000234,C01826,2024-02-08,Completed,0,7.25
O000235,C00460,2024-11-06,Completed,0.1,0.82
O000236,C02793,2024-07-05,Completed,0.1,9.59
O000237,C03297,2025-01-24,Completed,0.05,8.45
O000238,C03203,2025-11-14,Completed,0,10.89
O000239,C01134,2025-08-23,Completed,0.1,12.94
O000240,C03805,2024-05-31,Completed,0.15,9.48
O000241,C03735,2024-01-22,Completed,0.05,12.72
O000242,C03287,2024-09-23,Completed,0.2,7.53
O000243,C02561,2025-07-29,Completed,0.15,12.38
O000244,C01400,2024-03-12,Cancelled,0,11.53
O000245,C03829,2024-02-13,Returned,0,9.62
O000246,C01143,2024-09-23,Completed,0.1,15.11
O000247,C01983,2025-07-31,Cancelled,0.05,12.87
O000248,C03692,2024-04-23,Completed,0.15,15.87
O000249,C04505,2024-02-29,Completed,0.15,14.61
O000250,C00512,2025-04-22,Returned,0,9.28
O000251,C01294,2024-04-24,Completed,0.15,14.11
O000252,C03758,2025-01-05,Completed,0.2,8.81
O000253,C04196,2024-05-28,Completed,0.15,6.76
O000254,C02719,2025-01-27,Completed,0.2,10.39
O000255,C02389,2025-10-14,Returned,0,18.39
O000256,C01470,2024-01-14,Completed,0,11.13
O000257,C02820,2025-01-14,Completed,0.2,7.92
O000258,C04152,2025-02-16,Cancelled,0,13.42
O000259,C01884,2025-01-31,Completed,0.15,12.24
O000260,C02725,2025-02-24,Completed,0,3.7
O000261,C03026,2025-07-29,Completed,0.3,6.91
O000262,C00281,2025-02-01,Completed,0.2,3.44
O000263,C00210,2025-07-20,Completed,0,9.51
O000264,C00142,2024-06-30,Completed,0.05,18.56
O000265,C01885,2025-11-07,Completed,0.2,14.08
O000266,C02951,2024-09-26,Completed,0.1,6.09
O000267,C04337,2024-06-16,Completed,0.1,11.37
O000268,C03692,2025-05-10,Returned,0,11.41
O000269,C02211,2025-03-04,Completed,0.2,22.18
O000270,C02834,2025-10-15,Completed,0.2,14.44
O000271,C03449,2025-12-25,Completed,0.3,6.75
O000272,C00229,2024-08-02,Completed,0.05,8.37
O000273,C04315,2025-07-11,Completed,0,15.38
O000274,C01015,2024-09-11,Returned,0.15,10.84
O000275,C03213,2024-07-31,Completed,0.2,15.71
O000276,C03353,2024-07-28,Returned,0.1,12.01
O000277,C02659,2024-10-17,Completed,0,11.3
O000278,C02393,2024-03-12,Completed,0.15,14.91
O000279,C00637,2024-12-13,Completed,0,8.23
O000280,C03526,2025-06-12,Returned,0.2,3.69
O000281,C03452,2024-02-20,Completed,0.1,9.36
O000282,C04472,2024-11-23,Completed,0,4.58
O000283,C01851,2025-12-28,Completed,0.15,12.57
O000284,C02611,2025-08-11,Completed,0.15,7.43
O000285,C00937,2024-04-25,Completed,0.2,2.49
O000286,C02336,2025-01-21,Completed,0.05,9.45
O000287,C03472,2024-08-28,Completed,0.3,17.69
O000288,C04151,2024-07-01,Completed,0.3,3.25
O000289,C02664,2024-09-07,Returned,0.15,7.19
O000290,C00965,2025-11-26,Completed,0.15,10.91
O000291,C02395,2024-12-17,Completed,0.05,8.19
O000292,C01164,2025-08-26,Completed,0.2,2.51
O000293,C02023,2024-12-14,Completed,0.05,24.14
O000294,C00979,2025-01-09,Completed,0.1,9.76
O000295,C02168,2025-06-02,Completed,0.15,13.54
O000296,C00275,2025-02-12,Completed,0,10.74
O000297,C02021,2024-11-24,Completed,0.2,15.68
O000298,C00979,2024-09-01,Completed,0.15,13.58
O000299,C02680,2024-04-20,Completed,0.1,14.13
O000300,C02969,2024-08-17,Completed,0.1,13.35
O000301,C02538,2025-10-12,Cancelled,0,8.93
O000302,C04571,2025-01-21,Completed,0,10.97
O000303,C02997,2024-12-20,Completed,0.2,14.77
O000304,C00114,2024-08-07,Completed,0.1,18.83
O000305,C00651,2024-09-06,Completed,0.3,20.76
O000306,C03777,2025-09-23,Completed,0.15,10.62
O000307,C01747,2024-07-09,Completed,0.1,6.35
O000308,C04117,2025-02-21,Completed,0.2,20.15
O000309,C03537,2025-12-04,Completed,0.15,13.41
O000310,C02072,2025-02-24,Completed,0.2,14.69
O000311,C00518,2024-12-08,Completed,0,19.25
O000312,C01447,2025-04-13,Cancelled,0.15,15.1
O000313,C01207,2024-04-29,Returned,0.1,17.35
O000314,C00446,2024-10-28,Completed,0.1,17.34
O000315,C02130,2025-02-04,Completed,0.15,8.07
O000316,C03243,2025-01-18,Completed,0,4.68
O000317,C04572,2024-10-25,Completed,0.15,6.04
O000318,C03456,2024-03-07,Completed,0.15,4.28
O000319,C00786,2025-03-08,Cancelled,0.05,5.31
O000320,C03260,2024-11-19,Completed,0.3,10.27
O000321,C02480,2024-02-27,Completed,0.2,9.34
O000322,C01000,2024-03-18,Completed,0,17.75
O000323,C02640,2025-01-06,Completed,0,15.4
O000324,C00750,2025-11-14,Completed,0,15.31
O000325,C04627,2025-02-17,Cancelled,0.05,15.02
O000326,C01270,2024-06-08,Completed,0.1,10.22
O000327,C04093,2025-02-12,Completed,0,7.23
O000328,C02432,2025-09-15,Returned,0.2,6.19
O000329,C03768,2024-10-03,Completed,0.1,7.45
O000330,C00431,2024-02-22,Completed,0.1,15.48
O000331,C03326,2024-12-20,Completed,0.2,13.62
O000332,C04470,2025-01-07,Completed,0.15,7.91
O000333,C04461,2024-08-06,Completed,0,15.95
O000334,C02011,2025-12-16,Completed,0.2,6.56
O000335,C00590,2025-02-18,Completed,0.15,9.55
O000336,C01186,2025-10-02,Completed,0.15,13.67
O000337,C00919,2025-06-22,Completed,0.3,8.6
O000338,C03748,2024-06-27,Completed,0.1,3.78
O000339,C04452,2024-02-13,Completed,0.15,12.67
O000340,C01196,2025-07-26,Completed,0.2,9.45
O000341,C03766,2024-04-18,Completed,0.3,9.71
O000342,C01576,2025-01-28,Completed,0.3,14.72
O000343,C04599,2024-02-24,Cancelled,0.1,15.35
O000344,C04274,2025-05-27,Completed,0,13.23
O000345,C04614,2024-07-29,Completed,0.3,12.81
O000346,C01036,2025-06-02,Completed,0.1,10.29
O000347,C01292,2025-12-25,Completed,0.15,16.43
O000348,C01632,2025-02-01,Returned,0.05,7.42
O000349,C02074,2025-06-21,Completed,0.15,9.95
O000350,C03993,2025-06-14,Completed,0.3,13.14
O000351,C03170,2025-08-30,Completed,0.3,8.27
O000352,C04213,2025-01-29,Completed,0.1,4.64
O000353,C00568,2025-07-16,Completed,0.05,14.53
O000354,C02752,2024-08-11,Completed,0,9.19
O000355,C01471,2025-12-08,Returned,0.2,6.27
O000356,C02915,2025-11-11,Completed,0.15,10.02
O000357,C01968,2025-06-21,Completed,0.1,3.46
O000358,C01198,2025-06-29,Completed,0.2,9.57
O000359,C02762,2025-05-11,Completed,0,17.79
O000360,C03033,2024-03-24,Completed,0,11.13
O000361,C00509,2024-12-28,Completed,0,7.21
O000362,C03635,2024-04-12,Completed,0.2,6.49
O000363,C00898,2025-01-18,Completed,0,8.66
O000364,C02123,2025-07-28,Completed,0.05,5.97
O000365,C03718,2025-10-24,Completed,0.1,13.17
O000366,C00415,2024-01-10,Completed,0,11.29
O000367,C03207,2024-04-03,Completed,0.05,8.7
O000368,C00040,2024-05-31,Completed,0.2,8.99
O000369,C03095,2024-09-22,Completed,0.15,12.66
O000370,C03223,2025-03-19,Completed,0,9.76
O000371,C02264,2025-05-04,Completed,0,10.4
O000372,C03055,2025-10-03,Completed,0,14.24
O000373,C03723,2024-09-13,Completed,0.2,7.7
O000374,C03136,2025-05-21,Returned,0.15,8.05
O000375,C03873,2024-05-12,Completed,0.1,11.48
O000376,C03775,2024-10-11,Completed,0.2,7.32
O000377,C01656,2024-06-02,Completed,0.1,6.76
O000378,C00791,2024-12-08,Completed,0.1,9.64
O000379,C00873,2024-08-26,Completed,0.2,11.52
O000380,C01659,2025-08-20,Completed,0,13.95
O000381,C03143,2025-01-03,Completed,0.2,13.43
O000382,C03154,2024-10-28,Completed,0,10.42
O000383,C02038,2025-06-24,Returned,0.2,16.32
O000384,C02295,2024-08-29,Completed,0.05,14.47
O000385,C02083,2025-04-21,Completed,0.2,10.34
O000386,C01927,2024-12-22,Completed,0.15,20.24
O000387,C02234,2025-05-20,Completed,0.3,14.23
O000388,C02927,2025-04-25,Completed,0.2,6.49
O000389,C00597,2025-06-30,Completed,0.1,13.55
O000390,C02173,2024-04-25,Completed,0.2,2.17
O000391,C03794,2025-05-25,Completed,0.1,12.54
O000392,C01290,2024-01-26,Completed,0.15,9.09
O000393,C02574,2024-12-31,Completed,0.1,17.25
O000394,C04259,2025-10-22,Completed,0.15,8.28
O000395,C00150,2024-10-25,Returned,0.2,2.29
O000396,C01859,2025-08-25,Completed,0.15,11.88
O000397,C03802,2024-11-05,Completed,0,10.48
O000398,C02853,2025-08-25,Completed,0.05,13.05
O000399,C00964,2024-09-10,Completed,0.1,8.67
O000400,C04381,2025-11-26,Completed,0.1,13.39
O000401,C01633,2025-09-16,Completed,0.1,16.91
O000402,C00267,2024-04-14,Completed,0.15,8.86
O000403,C03611,2024-07-01,Completed,0.15,10.49
O000404,C01876,2024-12-22,Completed,0,5.92
O000405,C03608,2025-07-19,Completed,0.2,6.27
O000406,C03875,2024-11-22,Completed,0.2,5.54
O000407,C01923,2025-09-30,Completed,0.1,13.19
O000408,C00948,2024-09-28,Completed,0,15.9
O000409,C00449,2025-10-07,Completed,0.2,8.27
O000410,C03730,2025-06-30,Completed,0.15,15.02
O000411,C01311,2024-07-22,Completed,0.05,1.66
O000412,C03663,2024-11-16,Completed,0.3,13.97
O000413,C02942,2024-02-07,Completed,0.15,20.61
O000414,C02679,2024-12-21,Completed,0.2,7.46
O000415,C04011,2024-06-22,Completed,0.1,7.03
O000416,C03552,2024-05-29,Cancelled,0,13.38
O000417,C01747,2024-03-02,Completed,0.15,10.17
O000418,C02896,2025-06-21,Returned,0.2,8.07
O000419,C04256,2025-12-12,Completed,0,13.64
O000420,C00725,2024-01-06,Completed,0.3,4.8
O000421,C02149,2024-04-13,Cancelled,0.2,11.44
O000422,C01572,2024-03-11,Completed,0.15,11.67
O000423,C04286,2024-10-21,Completed,0.3,15.51
O000424,C04108,2024-05-01,Completed,0.05,1.34
O000425,C00983,2024-11-28,Completed,0,14.61
O000426,C03517,2024-05-23,Completed,0,9.73
O000427,C03918,2025-07-26,Completed,0.2,9.7
O000428,C01371,2024-04-19,Completed,0.1,16.59
O000429,C04534,2024-02-15,Completed,0.2,8.49
O000430,C02085,2024-05-13,Completed,0.1,10.25
O000431,C00664,2025-02-07,Returned,0.05,9.62
O000432,C04581,2024-08-14,Completed,0.15,6.72
O000433,C03954,2024-02-19,Completed,0.15,9.56
O000434,C01766,2024-10-12,Cancelled,0,9.7
O000435,C03748,2024-09-12,Completed,0,5.44
O000436,C04574,2025-03-24,Cancelled,0.15,9.67
O000437,C03949,2025-11-04,Returned,0.15,15.51
O000438,C02650,2024-02-22,Completed,0.15,14.74
O000439,C03427,2025-09-21,Completed,0.3,9.11
O000440,C03453,2024-11-07,Completed,0,15.3
O000441,C02186,2025-11-23,Completed,0.15,10.83
O000442,C00636,2024-03-13,Completed,0.2,11.53
O000443,C02822,2025-10-24,Completed,0.1,9.39
O000444,C02495,2024-12-13,Completed,0,15.98
O000445,C01163,2025-09-18,Completed,0.15,9.23
O000446,C03579,2025-02-24,Completed,0.15,7.22
O000447,C00777,2024-08-04,Returned,0.05,14.56
O000448,C02035,2024-09-14,Completed,0.05,15.81
O000449,C01912,2024-10-11,Returned,0,11.99
O000450,C00871,2024-07-21,Completed,0,7.67
O000451,C00767,2024-03-23,Completed,0,11.04
O000452,C01875,2025-02-08,Completed,0.3,7.34
O000453,C03119,2024-03-03,Completed,0,13.57
O000454,C01696,2025-04-13,Completed,0,21.49
O000455,C04612,2025-08-02,Completed,0.2,12.6
O000456,C04613,2024-06-06,Completed,0,17.26
O000457,C03818,2024-11-20,Completed,0,19.39
O000458,C03309,2024-12-30,Completed,0,4.13
O000459,C03311,2024-04-04,Completed,0.15,9.18
O000460,C03873,2024-03-08,Completed,0.1,4.88
O000461,C02125,2024-05-23,Completed,0,9.36
O000462,C01558,2024-12-05,Completed,0.05,21.86
O000463,C03412,2024-03-05,Completed,0.15,14.17
O000464,C04585,2025-12-27,Completed,0.1,22.25
O000465,C03301,2024-07-18,Returned,0.05,11.22
O000466,C01733,2025-07-11,Completed,0.2,4.84
O000467,C02688,2024-03-09,Completed,0.05,15.55
O000468,C00462,2024-11-07,Completed,0.2,6.5
O000469,C04245,2025-02-04,Completed,0.2,14.94
O000470,C01363,2024-06-02,Returned,0.15,6.91
O000471,C00549,2025-05-08,Completed,0.05,15.38
O000472,C01405,2024-02-23,Completed,0.3,15.52
O000473,C02133,2025-09-29,Completed,0,15.99
O000474,C03419,2024-09-01,Completed,0.15,6.92
O000475,C00809,2025-07-15,Cancelled,0,12.52
O000476,C02382,2025-10-08,Completed,0.15,16.89
O000477,C03362,2025-02-20,Completed,0,15.88
O000478,C00097,2024-03-26,Completed,0,14.62
O000479,C02651,2025-09-03,Cancelled,0.2,12.16
O000480,C03693,2025-03-07,Completed,0,15.21
O000481,C01018,2025-01-03,Completed,0.15,14.23
O000482,C01672,2024-02-12,Completed,0.3,15.47
O000483,C01709,2025-06-12,Completed,0.15,14.35
O000484,C01165,2024-11-07,Completed,0.2,10.03
O000485,C04127,2025-08-24,Completed,0.2,14.05
O000486,C00130,2024-08-04,Completed,0,9.55
O000487,C02075,2025-01-21,Completed,0.15,14.18
O000488,C00953,2025-06-29,Completed,0.2,15.23
O000489,C01558,2024-01-31,Completed,0.05,6.01
O000490,C02307,2024-01-30,Completed,0.15,13.51
O000491,C02967,2024-05-08,Completed,0.1,9.42
O000492,C01763,2025-02-06,Completed,0,13.65
O000493,C02622,2024-01-11,Completed,0.15,10.85
O000494,C02859,2025-10-08,Cancelled,0.1,2.11
O000495,C02026,2025-05-20,Completed,0.15,14.64
O000496,C02300,2024-11-24,Completed,0.2,10.27
O000497,C04219,2024-05-27,Completed,0.15,20.87
O000498,C04142,2024-03-14,Completed,0.05,10.48
O000499,C01740,2025-03-14,Completed,0.2,5.36
O000500,C01855,2025-08-24,Completed,0.2,10.91
O000501,C04148,2024-11-22,Completed,0.1,16.5
O000502,C02967,2024-02-29,Completed,0.15,9.83
O000503,C04629,2025-01-06,Completed,0.15,13
O000504,C03306,2025-10-02,Completed,0.2,16.95
O000505,C00670,2024-05-19,Completed,0.2,15.54
O000506,C00322,2025-12-16,Cancelled,0.2,14.7
O000507,C04125,2024-01-26,Completed,0.2,13.54
O000508,C00124,2024-11-30,Completed,0.2,9.64
O000509,C04100,2024-04-02,Returned,0.1,6.18
O000510,C01248,2025-10-10,Completed,0.2,11.58
O000511,C00625,2024-02-15,Completed,0,12.49
O000512,C02762,2025-07-20,Completed,0.2,10.29
O000513,C00559,2025-01-27,Cancelled,0.15,16.18
O000514,C04135,2025-05-08,Completed,0.15,10.68
O000515,C04306,2025-06-20,Completed,0,14.89
O000516,C02247,2024-07-17,Completed,0.15,13.35
O000517,C02094,2024-03-06,Completed,0.15,15.67
O000518,C00798,2024-09-22,Completed,0.05,14.71
O000519,C03798,2025-10-21,Cancelled,0.2,8.66
O000520,C03754,2024-09-17,Completed,0.2,12.57
O000521,C04001,2025-10-28,Cancelled,0.15,13.63
